,Gombak,Taman Melati,Wangsa Maju,Sri Rampai,Setiawangsa,Jelatek,Dato' Keramat,Damai,Ampang Park,KLCC,Kampung Baru,Dang Wangi,Masjid Jamek (KJL),Pasar Seni (KJL),KL Sentral (KJL),Bangsar,Abdullah Hukum,Kerinchi,Universiti,Taman Jaya,Asia Jaya,Taman Paramount,Taman Bahagia,Kelana Jaya,Lembah Subang,Ara Damansara,Glenmarie,Subang Jaya,SS 15,SS 18,USJ 7 (KJL),Taipan,Wawasan,USJ 21,Alam Megah,Subang Alam,Putra Heights (KJL),Sungai Buloh,Kampung Selamat,Kwasa Damansara,Kwasa Sentral,Kota Damansara,Surian,Mutiara Damansara,Bandar Utama,TTDI,Phileo Damansara,Pusat Bandar Damansara,Semantan,Muzium Negara,Pasar Seni (SBK),Merdeka,Bukit Bintang,Tun Razak Exchange (TRX),Cochrane,Maluri (SBK),Taman Pertama,Taman Midah,Taman Mutiara,Taman Connaught,Taman Suntex,Sri Raya,Bandar Tun Hussein Onn,Batu 11 Cheras,Bukit Dukung,Sungai Jernih,Stadium Kajang,Kajang
Gombak,0,3,7,9,15,17,18,19,21,22,24,26,28,29,32,34,37,38,40,44,46,49,52,54,57,59,62,63,67,69,72,73,76,78,81,84,88,66,64,62,59,56,53,50,48,45,42,38,36,32,30,31,34,36,39,40,44,46,48,51,53,56,58,60,63,67,68,71
Taman Melati,3,0,4,6,12,14,15,16,18,19,21,23,25,26,29,31,34,35,37,41,43,46,49,51,54,56,59,60,64,66,69,70,73,75,78,81,85,63,61,59,56,53,50,47,45,42,39,35,33,29,27,28,31,33,36,37,41,43,45,48,50,53,55,57,60,64,65,68
Wangsa Maju,7,4,0,2,8,10,11,12,14,15,17,19,21,22,25,27,30,31,33,37,39,42,45,47,50,52,55,56,60,62,65,66,69,71,74,77,81,59,57,55,52,49,46,43,41,38,35,31,29,25,23,24,27,29,32,33,37,39,41,44,46,49,51,53,56,60,61,64
Sri Rampai,9,6,2,0,6,8,9,10,12,13,15,17,19,20,23,25,28,29,31,35,37,40,43,45,48,50,53,54,58,60,63,64,67,69,72,75,79,57,55,53,50,47,44,41,39,36,33,29,27,23,21,22,25,27,30,31,35,37,39,42,44,47,49,51,54,58,59,62
Setiawangsa,15,12,8,6,0,2,3,4,6,7,9,11,13,14,17,19,22,23,25,29,31,34,37,39,42,44,47,48,52,54,57,58,61,63,66,69,73,51,49,47,44,41,38,35,33,30,27,23,21,17,15,16,19,21,24,25,29,31,33,36,38,41,43,45,48,52,53,56
Jelatek,17,14,10,8,2,0,1,2,4,5,7,9,11,12,15,17,20,21,23,27,29,32,35,37,40,42,45,46,50,52,55,56,59,61,64,67,71,49,47,45,42,39,36,33,31,28,25,21,19,15,13,14,17,19,22,23,27,29,31,34,36,39,41,43,46,50,51,54
Dato' Keramat,18,15,11,9,3,1,0,1,3,4,6,8,10,11,14,16,19,20,22,26,28,31,34,36,39,41,44,45,49,51,54,55,58,60,63,66,70,48,46,44,41,38,35,32,30,27,24,20,18,14,12,13,16,18,21,22,26,28,30,33,35,38,40,42,45,49,50,53
Damai,19,16,12,10,4,2,1,0,2,3,5,7,9,10,13,15,18,19,21,25,27,30,33,35,38,40,43,44,48,50,53,54,57,59,62,65,69,47,45,43,40,37,34,31,29,26,23,19,17,13,11,12,15,17,20,21,25,27,29,32,34,37,39,41,44,48,49,52
Ampang Park,21,18,14,12,6,4,3,2,0,1,3,5,7,8,11,13,16,17,19,23,25,28,31,33,36,38,41,42,46,48,51,52,55,57,60,63,67,45,43,41,38,35,32,29,27,24,21,17,15,11,9,10,13,15,18,19,23,25,27,30,32,35,37,39,42,46,47,50
KLCC,22,19,15,13,7,5,4,3,1,0,2,4,6,7,10,12,15,16,18,22,24,27,30,32,35,37,40,41,45,47,50,51,54,56,59,62,66,44,42,40,37,34,31,28,26,23,20,16,14,10,8,9,12,14,17,18,22,24,26,29,31,34,36,38,41,45,46,49
Kampung Baru,24,21,17,15,9,7,6,5,3,2,0,2,4,5,8,10,13,14,16,20,22,25,28,30,33,35,38,39,43,45,48,49,52,54,57,60,64,42,40,38,35,32,29,26,24,21,18,14,12,8,6,7,10,12,15,16,20,22,24,27,29,32,34,36,39,43,44,47
Dang Wangi,26,23,19,17,11,9,8,7,5,4,2,0,2,3,6,8,11,12,14,18,20,23,26,28,31,33,36,37,41,43,46,47,50,52,55,58,62,40,38,36,33,30,27,24,22,19,16,12,10,6,4,5,8,10,13,14,18,20,22,25,27,30,32,34,37,41,42,45
Masjid Jamek (KJL),28,25,21,19,13,11,10,9,7,6,4,2,0,1,4,6,9,10,12,16,18,21,24,26,29,31,34,35,39,41,44,45,48,50,53,56,60,38,36,34,31,28,25,22,20,17,14,10,8,4,2,3,6,8,11,12,16,18,20,23,25,28,30,32,35,39,40,43
Pasar Seni (KJL),29,26,22,20,14,12,11,10,8,7,5,3,1,0,3,5,8,9,11,15,17,20,23,25,28,30,33,34,38,40,43,44,47,49,52,55,59,37,35,33,30,27,24,21,19,16,13,9,7,3,1,2,5,7,10,11,15,17,19,22,24,27,29,31,34,38,39,42
KL Sentral (KJL),32,29,25,23,17,15,14,13,11,10,8,6,4,3,0,2,5,6,8,12,14,17,20,22,25,27,30,31,35,37,40,41,44,46,49,52,56,40,38,36,33,30,27,24,22,19,16,12,10,6,4,5,8,10,13,14,18,20,22,25,27,30,32,34,37,41,42,45
Bangsar,34,31,27,25,19,17,16,15,13,12,10,8,6,5,2,0,3,4,6,10,12,15,18,20,23,25,28,29,33,35,38,39,42,44,47,50,54,42,40,38,35,32,29,26,24,21,18,14,12,8,6,7,10,12,15,16,20,22,24,27,29,32,34,36,39,43,44,47
Abdullah Hukum,37,34,30,28,22,20,19,18,16,15,13,11,9,8,5,3,0,1,3,7,9,12,15,17,20,22,25,26,30,32,35,36,39,41,44,47,51,45,43,41,38,35,32,29,27,24,21,17,15,11,9,10,13,15,18,19,23,25,27,30,32,35,37,39,42,46,47,50
Kerinchi,38,35,31,29,23,21,20,19,17,16,14,12,10,9,6,4,1,0,2,6,8,11,14,16,19,21,24,25,29,31,34,35,38,40,43,46,50,46,44,42,39,36,33,30,28,25,22,18,16,12,10,11,14,16,19,20,24,26,28,31,33,36,38,40,43,47,48,51
Universiti,40,37,33,31,25,23,22,21,19,18,16,14,12,11,8,6,3,2,0,4,6,9,12,14,17,19,22,23,27,29,32,33,36,38,41,44,48,48,46,44,41,38,35,32,30,27,24,20,18,14,12,13,16,18,21,22,26,28,30,33,35,38,40,42,45,49,50,53
Taman Jaya,44,41,37,35,29,27,26,25,23,22,20,18,16,15,12,10,7,6,4,0,2,5,8,10,13,15,18,19,23,25,28,29,32,34,37,40,44,52,50,48,45,42,39,36,34,31,28,24,22,18,16,17,20,22,25,26,30,32,34,37,39,42,44,46,49,53,54,57
Asia Jaya,46,43,39,37,31,29,28,27,25,24,22,20,18,17,14,12,9,8,6,2,0,3,6,8,11,13,16,17,21,23,26,27,30,32,35,38,42,54,52,50,47,44,41,38,36,33,30,26,24,20,18,19,22,24,27,28,32,34,36,39,41,44,46,48,51,55,56,59
Taman Paramount,49,46,42,40,34,32,31,30,28,27,25,23,21,20,17,15,12,11,9,5,3,0,3,5,8,10,13,14,18,20,23,24,27,29,32,35,39,57,55,53,50,47,44,41,39,36,33,29,27,23,21,22,25,27,30,31,35,37,39,42,44,47,49,51,54,58,59,62
Taman Bahagia,52,49,45,43,37,35,34,33,31,30,28,26,24,23,20,18,15,14,12,8,6,3,0,2,5,7,10,11,15,17,20,21,24,26,29,32,36,60,58,56,53,50,47,44,42,39,36,32,30,26,24,25,28,30,33,34,38,40,42,45,47,50,52,54,57,61,62,65
Kelana Jaya,54,51,47,45,39,37,36,35,33,32,30,28,26,25,22,20,17,16,14,10,8,5,2,0,3,5,8,9,13,15,18,19,22,24,27,30,34,62,60,58,55,52,49,46,44,41,38,34,32,28,26,27,30,32,35,36,40,42,44,47,49,52,54,56,59,63,64,67
Lembah Subang,57,54,50,48,42,40,39,38,36,35,33,31,29,28,25,23,20,19,17,13,11,8,5,3,0,2,5,6,10,12,15,16,19,21,24,27,31,65,63,61,58,55,52,49,47,44,41,37,35,31,29,30,33,35,38,39,43,45,47,50,52,55,57,59,62,66,67,70
Ara Damansara,59,56,52,50,44,42,41,40,38,37,35,33,31,30,27,25,22,21,19,15,13,10,7,5,2,0,3,4,8,10,13,14,17,19,22,25,29,67,65,63,60,57,54,51,49,46,43,39,37,33,31,32,35,37,40,41,45,47,49,52,54,57,59,61,64,68,69,72
Glenmarie,62,59,55,53,47,45,44,43,41,40,38,36,34,33,30,28,25,24,22,18,16,13,10,8,5,3,0,1,5,7,10,11,14,16,19,22,26,70,68,66,63,60,57,54,52,49,46,42,40,36,34,35,38,40,43,44,48,50,52,55,57,60,62,64,67,71,72,75
Subang Jaya,63,60,56,54,48,46,45,44,42,41,39,37,35,34,31,29,26,25,23,19,17,14,11,9,6,4,1,0,4,6,9,10,13,15,18,21,25,71,69,67,64,61,58,55,53,50,47,43,41,37,35,36,39,41,44,45,49,51,53,56,58,61,63,65,68,72,73,76
SS 15,67,64,60,58,52,50,49,48,46,45,43,41,39,38,35,33,30,29,27,23,21,18,15,13,10,8,5,4,0,2,5,6,9,11,14,17,21,75,73,71,68,65,62,59,57,54,51,47,45,41,39,40,43,45,48,49,53,55,57,60,62,65,67,69,72,76,77,80
SS 18,69,66,62,60,54,52,51,50,48,47,45,43,41,40,37,35,32,31,29,25,23,20,17,15,12,10,7,6,2,0,3,4,7,9,12,15,19,77,75,73,70,67,64,61,59,56,53,49,47,43,41,42,45,47,50,51,55,57,59,62,64,67,69,71,74,78,79,82
USJ 7 (KJL),72,69,65,63,57,55,54,53,51,50,48,46,44,43,40,38,35,34,32,28,26,23,20,18,15,13,10,9,5,3,0,1,4,6,9,12,16,80,78,76,73,70,67,64,62,59,56,52,50,46,44,45,48,50,53,54,58,60,62,65,67,70,72,74,77,81,82,85
Taipan,73,70,66,64,58,56,55,54,52,51,49,47,45,44,41,39,36,35,33,29,27,24,21,19,16,14,11,10,6,4,1,0,3,5,8,11,15,81,79,77,74,71,68,65,63,60,57,53,51,47,45,46,49,51,54,55,59,61,63,66,68,71,73,75,78,82,83,86
Wawasan,76,73,69,67,61,59,58,57,55,54,52,50,48,47,44,42,39,38,36,32,30,27,24,22,19,17,14,13,9,7,4,3,0,2,5,8,12,84,82,80,77,74,71,68,66,63,60,56,54,50,48,49,52,54,57,58,62,64,66,69,71,74,76,78,81,85,86,89
USJ 21,78,75,71,69,63,61,60,59,57,56,54,52,50,49,46,44,41,40,38,34,32,29,26,24,21,19,16,15,11,9,6,5,2,0,3,6,10,86,84,82,79,76,73,70,68,65,62,58,56,52,50,51,54,56,59,60,64,66,68,71,73,76,78,80,83,87,88,91
Alam Megah,81,78,74,72,66,64,63,62,60,59,57,55,53,52,49,47,44,43,41,37,35,32,29,27,24,22,19,18,14,12,9,8,5,3,0,3,7,89,87,85,82,79,76,73,71,68,65,61,59,55,53,54,57,59,62,63,67,69,71,74,76,79,81,83,86,90,91,94
Subang Alam,84,81,77,75,69,67,66,65,63,62,60,58,56,55,52,50,47,46,44,40,38,35,32,30,27,25,22,21,17,15,12,11,8,6,3,0,4,92,90,88,85,82,79,76,74,71,68,64,62,58,56,57,60,62,65,66,70,72,74,77,79,82,84,86,89,93,94,97
Putra Heights (KJL),88,85,81,79,73,71,70,69,67,66,64,62,60,59,56,54,51,50,48,44,42,39,36,34,31,29,26,25,21,19,16,15,12,10,7,4,0,96,94,92,89,86,83,80,78,75,72,68,66,62,60,61,64,66,69,70,74,76,78,81,83,86,88,90,93,97,98,101
Sungai Buloh,62,59,56,54,51,49,47,45,43,41,39,38,35,33,36,38,41,42,44,48,50,53,56,58,61,63,66,67,71,73,76,77,80,82,85,87,91,0,3,5,15,19,21,23,25,28,31,34,36,37,39,41,43,46,49,50,54,56,58,61,63,66,68,70,73,77,78,81
Kampung Selamat,59,56,53,51,48,46,44,42,40,38,36,35,32,30,33,35,38,39,41,45,47,50,53,55,58,60,63,64,68,70,73,74,77,79,82,84,88,3,0,3,8,12,14,16,18,21,24,27,29,34,36,38,40,43,46,47,51,53,61,64,66,69,71,73,76,70,71,74
Kwasa Damansara,54,51,48,46,43,41,39,37,35,33,31,30,27,25,28,30,33,34,36,40,42,45,48,50,53,55,58,59,63,65,68,69,72,74,77,79,83,5,3,0,3,7,9,11,13,16,19,22,24,29,31,33,35,38,41,44,46,48,50,53,55,58,60,62,65,69,70,73
Kwasa Sentral,52,49,46,44,41,39,37,35,33,31,29,28,25,23,26,28,31,32,34,38,40,43,46,48,51,53,56,57,61,63,66,67,70,72,75,77,81,15,12,4,0,5,7,9,11,14,17,20,22,27,29,31,33,36,39,40,44,46,48,51,53,56,58,60,63,67,68,71
Kota Damansara,48,45,42,40,37,35,33,31,29,27,25,24,21,19,22,24,27,28,30,34,36,39,42,44,47,49,52,53,57,59,62,63,66,68,71,73,77,19,12,7,4,0,3,5,7,10,13,16,18,23,25,27,30,32,35,36,40,42,44,47,49,52,54,56,59,63,64,67
Surian,46,43,40,38,35,33,31,29,27,25,23,22,19,17,20,22,25,26,28,32,34,37,40,42,45,47,50,51,55,57,60,61,64,66,69,71,75,21,19,10,7,4,0,3,5,8,11,14,16,21,23,25,28,30,33,34,38,40,42,45,47,50,52,54,57,61,62,65
Mutiara Damansara,44,41,38,36,33,31,29,27,25,23,21,20,17,15,18,20,23,24,26,30,32,35,38,40,43,45,48,49,53,55,58,59,62,64,67,69,73,23,19,13,10,7,4,0,3,6,9,12,14,19,21,23,25,28,31,32,36,38,40,43,45,48,50,52,55,59,60,63
Bandar Utama,42,39,36,34,31,29,27,25,23,21,19,18,15,13,16,18,21,22,24,28,30,33,36,38,41,43,46,47,51,53,56,57,60,62,65,67,71,25,18,15,12,9,6,3,0,4,7,10,12,17,19,21,24,26,29,30,34,36,38,41,43,46,48,50,53,57,58,61
TTDI,38,35,32,30,27,25,23,21,19,17,15,14,11,9,12,14,17,18,20,24,26,29,32,34,37,39,42,43,47,49,52,53,56,58,61,63,67,28,25,18,15,12,9,6,4,0,4,7,9,11,15,19,21,23,25,28,30,33,35,38,40,43,46,48,50,53,55,58
Phileo Damansara,34,31,28,26,23,21,19,17,15,13,11,10,7,5,8,10,13,14,16,20,22,25,28,30,33,35,38,39,43,45,48,49,52,54,57,59,63,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30,33,35,38,40,43,46,48,50,53,55
Pusat Bandar Damansara,63,60,57,55,52,50,48,46,44,42,40,39,36,34,37,39,42,43,45,49,51,54,57,59,62,64,67,68,72,74,77,78,81,83,86,88,92,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30,33,35,38,40,43,46,48,50,53
Semantan,60,57,54,52,49,47,45,43,41,39,37,36,33,31,34,36,39,40,42,46,48,51,54,56,59,61,64,65,69,71,74,75,78,80,83,85,89,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30,33,35,38,40,43,46,48,50
Muzium Negara,55,52,49,47,44,42,40,38,36,34,32,31,28,26,29,31,34,35,37,41,43,46,49,51,54,56,59,60,64,66,69,70,73,75,78,80,84,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30,33,35,38,40,43,46,48
Pasar Seni (SBK),53,50,47,45,42,40,38,36,34,32,30,29,26,24,27,29,32,33,35,39,41,44,47,49,52,54,57,58,62,64,67,68,71,73,76,78,82,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30,33,35,38,40,43,46
Merdeka,49,46,43,41,38,36,34,32,30,28,26,25,22,20,23,25,28,29,31,35,37,40,43,45,48,50,53,54,58,60,63,64,67,69,72,74,78,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30,33,35,38,40,43
Bukit Bintang,47,44,41,39,36,34,32,30,28,26,24,23,20,18,21,23,26,27,29,33,35,38,41,43,46,48,51,52,56,58,61,62,65,67,70,72,76,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30,33,35,38,40
Tun Razak Exchange (TRX),45,42,39,37,34,32,30,28,26,24,22,21,18,16,19,21,24,25,27,31,33,36,39,41,44,46,49,50,54,56,59,60,63,65,68,70,74,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30,33,35,38
Cochrane,43,40,37,35,32,30,28,26,24,22,20,19,16,14,17,19,22,23,25,29,31,34,37,39,42,44,47,48,52,54,57,58,61,63,66,68,72,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30,33,35
Maluri (SBK),39,36,33,31,28,26,24,22,20,18,16,15,12,10,13,15,18,19,21,25,27,30,33,35,38,40,43,44,48,50,53,54,57,59,62,64,68,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30,33
Taman Pertama,35,32,29,27,24,22,20,18,16,14,12,11,8,6,9,11,14,15,17,21,23,26,29,31,34,36,39,40,44,46,49,50,53,55,58,60,64,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28,30
Taman Midah,64,61,58,56,53,51,49,47,45,43,41,40,37,35,38,40,43,44,46,50,52,55,58,60,63,65,68,69,73,75,78,79,82,84,87,89,93,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25,28
Taman Mutiara,61,58,55,53,50,48,46,44,42,40,38,37,34,32,35,37,40,41,43,47,49,52,55,57,60,62,65,66,70,72,75,76,79,81,84,86,90,58,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23,25
Taman Connaught,56,53,50,48,45,43,41,39,37,35,33,32,29,27,30,32,35,36,38,42,44,47,50,52,55,57,60,61,65,67,70,71,74,76,79,81,85,61,58,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21,23
Taman Suntex,54,51,48,46,43,41,39,37,35,33,31,30,27,25,28,30,33,34,36,40,42,45,48,50,53,55,58,59,63,65,68,69,72,74,77,79,83,63,61,58,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16,21
Sri Raya,50,47,44,42,39,37,35,33,31,29,27,26,23,21,24,26,29,30,32,36,38,41,44,46,49,51,54,55,59,61,64,65,68,70,73,75,79,66,63,61,58,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11,16
Bandar Tun Hussein Onn,48,45,42,40,37,35,33,31,29,27,25,24,21,19,22,24,27,28,30,34,36,39,42,44,47,49,52,53,57,59,62,63,66,68,71,73,77,68,66,63,61,58,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11,11
Batu 11 Cheras,46,43,40,38,35,33,31,29,27,25,23,22,19,17,20,22,25,26,28,32,34,37,40,42,45,47,50,51,55,57,60,61,64,66,69,71,75,70,68,66,63,61,58,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10,11
Bukit Dukung,44,41,38,36,33,31,29,27,25,23,21,20,17,15,18,20,23,24,26,30,32,35,38,40,43,45,48,49,53,55,58,59,62,64,67,69,73,73,70,68,66,63,61,58,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7,10
Sungai Jernih,40,37,34,32,29,27,25,23,21,19,17,16,13,11,14,16,19,20,22,26,28,31,34,36,39,41,44,45,49,51,54,55,58,60,63,65,69,77,73,70,68,66,63,61,58,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4,7
Stadium Kajang,36,33,30,28,25,23,21,19,17,15,13,12,9,7,10,12,15,16,18,22,24,27,30,32,35,37,40,41,45,47,50,51,54,56,59,61,65,78,77,73,70,68,66,63,61,58,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,15,12,9,7,4,0,4
Kajang,65,62,59,57,54,52,50,48,46,44,42,41,38,36,39,41,44,45,47,51,53,56,59,61,64,66,69,70,74,76,79,80,83,85,88,90,94,81,78,77,73,70,68,66,63,61,58,56,54,50,49,46,43,41,39,37,36,34,31,28,25,18,21,19,15,5,3,0